future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Apr-2027	0	0	0	0	0	627775.648463577	0	123462.544197837	0	0	0
May-2027	0	0	0	0	0	509624.362066771	0	70293.0154574856	0	0	0
Jun-2027	0	0	0	0	0	416079.892022698	0	0	0	0	0
Jul-2027	0	0	0	0	0	346985.033842513	0	0	0	0	0
Aug-2027	0	0	0	0	0	528575.881629312	0	0	0	0	0
Sep-2027	0	0	0	0	0	720231.003392121	0	21825.1819209734	0	0	0
Oct-2028	0	0	0	0	0	280726.647098084	0	98364.8487863367	0	0	0
Nov-2028	0	0	0	0	0	290710.607803196	0	109016.477926199	0	0	0
Dec-2028	0	0	0	0	0	473333.12981335	0	202857.055634293	0	0	0
Jan-2028	0	0	0	0	0	347703.863143548	0	162087.515149624	0	0	0
Feb-2028	0	0	0	0	0	871226.105361842	0	234348.794163787	0	0	0
Mar-2028	0	0	0	0	0	423613.550513047	0	104601.781746797	0	0	0
Apr-2028	0	0	0	0	0	163824.10482434	0	52399.6217636677	0	0	0
May-2028	0	0	0	0	0	239415.11289723	0	23769.2702013078	0	0	0
Jun-2028	0	0	0	0	0	493036.917374414	0	53522.5261517565	0	0	0
Jul-2028	0	0	0	0	0	584079.241081358	0	111029.788799937	0	0	0
Aug-2028	0	0	0	0	0	534165.42413276	0	98273.7575555822	0	0	0
Sep-2028	0	0	0	0	0	508413.233708298	0	134836.583042763	0	0	0
Oct-2029	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2029	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
Dec-2029	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2029	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2029	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2029	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2029	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
May-2029	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2029	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
Jul-2029	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2029	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2029	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2030	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2030	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
