well_id	227	228	241	243	1534
Jun-32	0	0	0	0	64511.03595
Jul-32	0	0	0	0	81989.45621
Aug-32	0	0	0	0	77746.28291
Sep-32	0	0	0	0	61303.98636
Oct-32	0	0	0	0	32551.55332
Nov-32	0	0	0	0	27272.25631
Dec-32	0	0	0	0	30010.58326
Jan-33	0	0	0	0	31022.03736
Feb-33	0	0	0	0	28629.08498
Mar-33	0	0	0	0	26544.50275
Apr-33	0	0	0	0	25422.03539
May-33	0	0	0	0	39311.02707
Jun-33	0	0	0	0	58565.65941
Jul-33	0	0	0	0	65855.52982
Aug-33	0	0	0	0	57850.24065
Sep-33	0	0	0	0	38287.23816
Oct-33	0	0	0	0	29899.57001
Nov-33	0	0	0	0	24509.25974
Dec-33	0	0	0	0	26310.14143
Jan-34	0	0	0	0	24484.59013
Feb-34	0	0	0	0	23029.08301
Mar-34	0	0	0	0	25187.67407
Apr-34	0	0	0	0	26482.82872
May-34	0	0	0	0	49894.29071
Jun-34	0	0	0	0	55580.63633
Jul-34	0	0	0	0	73527.77922
Aug-34	0	0	0	0	38225.56413
Sep-34	0	0	0	0	49647.59459
Oct-34	0	0	0	0	30392.96225
Nov-34	0	0	0	0	27136.57344
Dec-34	0	0	0	0	28283.71041
Jan-35	0	0	0	0	31330.40752
Feb-35	0	0	0	0	29208.82087
Mar-35	0	0	0	0	33871.37758
Apr-35	0	0	0	0	31885.47379
May-35	0	0	0	0	38842.30444
Jun-35	0	0	0	0	55259.93137
Jul-35	0	0	0	0	75834.38796
Aug-35	0	0	0	0	72442.31628
Sep-35	0	0	0	0	45836.1395
Oct-35	0	0	0	0	32045.82627
Nov-35	0	0	0	0	30935.69372
Dec-35	0	0	0	0	33316.3113
Jan-36	0	0	0	0	30059.92249
Feb-36	0	0	0	0	28283.71041
Mar-36	0	0	0	0	31515.42961
Apr-36	0	0	0	0	35339.2195
May-36	0	0	0	0	51325.12822
Jun-36	0	0	0	0	64511.03595
Jul-36	0	0	0	0	81989.45621
Aug-36	0	0	0	0	77746.28291
Sep-36	0	0	0	0	61303.98636
Oct-36	0	0	0	0	32551.55332
Nov-36	0	0	0	0	27272.25631
Dec-36	0	0	0	0	30010.58326
Jan-37	0	0	0	0	31022.03736
Feb-37	0	0	0	0	28629.08498
Mar-37	0	0	0	0	26544.50275
Apr-37	0	0	0	0	25422.03539
May-37	0	0	0	0	39311.02707
Jun-37	0	0	0	0	58565.65941
Jul-37	0	0	0	0	65855.52982
Aug-37	0	0	0	0	57850.24065
Sep-37	0	0	0	0	38287.23816
Oct-37	0	0	0	0	29899.57001
Nov-37	0	0	0	0	24509.25974
Dec-37	0	0	0	0	26310.14143
