future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jun-2026	0	0	0	0	0	583227.114652602	0	63313.2883083925	0	0	0
Jul-2026	0	0	0	0	0	624120.997104071	0	118641.474683773	0	0	0
Aug-2026	0	0	0	0	0	569659.973821834	0	104803.912097786	0	0	0
Sep-2026	0	0	0	0	0	541662.688788093	0	143654.691254253	0	0	0
Oct-2027	0	0	0	0	0	773802.94572969	0	87697.6671826982	0	0	0
Nov-2027	0	0	0	0	0	1232102.89759138	0	246420.579518277	0	0	0
Dec-2027	0	0	0	0	0	1624244.4157792	0	324848.883155841	0	0	0
Jan-2027	0	0	0	0	0	924378.788289951	0	184875.757657991	0	0	0
Feb-2027	0	0	0	0	0	1177291.49046144	0	235458.298092289	0	0	0
Mar-2027	0	0	0	0	0	1139844.76138759	0	227968.952277519	0	0	0
Apr-2027	0	0	0	0	0	835942.308811862	0	164401.987399667	0	0	0
May-2027	0	0	0	0	0	687961.598485743	0	94891.2549635506	0	0	0
Jun-2027	0	0	0	0	0	508000.781862432	0	0	0	0	0
Jul-2027	0	0	0	0	0	381449.098740355	0	0	0	0	0
Aug-2027	0	0	0	0	0	584937.938809627	0	0	0	0	0
Sep-2027	0	0	0	0	0	751332.979498346	0	22767.6660454044	0	0	0
Oct-2028	0	0	0	0	0	325361.027411043	0	114004.454486547	0	0	0
Nov-2028	0	0	0	0	0	408216.371997425	0	153081.139499035	0	0	0
Dec-2028	0	0	0	0	0	753284.654894616	0	322836.280669122	0	0	0
Jan-2028	0	0	0	0	0	767812.855259727	0	357927.797188746	0	0	0
Feb-2028	0	0	0	0	0	1392861.09840944	0	374662.004318996	0	0	0
Mar-2028	0	0	0	0	0	682355.596037528	0	168492.275669603	0	0	0
Apr-2028	0	0	0	0	0	256487.491256191	0	82038.2784532673	0	0	0
May-2028	0	0	0	0	0	319871.014039624	0	31756.9783722793	0	0	0
Jun-2028	0	0	0	0	0	583227.114652602	0	63313.2883083925	0	0	0
Jul-2028	0	0	0	0	0	624120.997104071	0	118641.474683773	0	0	0
Aug-2028	0	0	0	0	0	569659.973821834	0	104803.912097786	0	0	0
Sep-2028	0	0	0	0	0	541662.688788093	0	143654.691254253	0	0	0
Oct-2029	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2029	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2029	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2029	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2029	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2029	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2029	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2029	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
Jun-2029	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2029	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2029	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2029	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2030	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2030	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2030	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2030	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2030	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2030	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2030	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2030	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
Jun-2030	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2030	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2030	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2030	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2031	0	0	0	0	0	899743.351641053	0	113078.559191559	0	0	0
Nov-2031	0	0	0	0	0	1532462.87872957	0	218923.268389938	0	0	0
Dec-2031	0	0	0	0	0	2090840.0559911	0	319338.310065789	0	0	0
Jan-2031	0	0	0	0	0	1400578.18694199	0	280115.637388399	0	0	0
Feb-2031	0	0	0	0	0	1511921.45384517	0	302384.290769034	0	0	0
Mar-2031	0	0	0	0	0	2096671.02598994	0	184650.005129797	0	0	0
Apr-2031	0	0	0	0	0	710661.610438298	0	59525.5024127805	0	0	0
