future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	0	0	0	0	0	0	0	138440.433250913	0	0	0
Nov-2021	0	0	0	0	0	0	0	138645.591763705	0	0	0
Dec-2021	0	0	0	0	0	0	0	212821.38130454	0	0	0
Jan-2021	0	0	0	0	0	25271.6607233328	0	223834.709263805	0	0	0
Feb-2021	0	0	0	0	0	1358902.37652691	0	207411.415364635	0	0	0
Mar-2021	0	0	0	0	0	1409099.26902759	0	140909.92690276	0	0	0
Apr-2021	0	0	0	0	0	547748.142082905	0	104072.146995752	0	0	0
May-2021	0	0	0	0	0	436922.521913376	0	5100.26290171256	0	0	0
Jun-2021	0	0	0	0	0	546804.772577839	0	6695.56864381027	0	0	0
Jul-2021	0	0	0	0	0	608392.750624202	0	0	0	0	0
Aug-2021	0	0	0	0	0	424659.491425321	0	0	0	0	0
Sep-2021	0	0	0	0	0	496159.984101607	0	130828.254514354	0	0	0
Oct-2022	0	0	0	0	0	712911.009623429	0	97659.0424141682	0	0	0
Nov-2022	0	0	0	0	0	767707.581738194	0	158290.223038803	0	0	0
Dec-2022	0	0	0	0	0	1176139.14657369	0	235227.829314738	0	0	0
Jan-2022	0	0	0	0	0	4322630.78814881	0	205997.77775959	0	0	0
Feb-2022	0	0	0	0	0	5810927.25173289	0	167013.766402631	0	0	0
Mar-2022	0	0	0	0	0	2624678.99176933	0	131233.949588467	0	0	0
Apr-2022	0	0	0	0	0	529524.885887995	0	44127.0738239996	0	0	0
May-2022	0	0	0	0	0	486106.713164011	0	22731.6088889646	0	0	0
Jun-2022	0	0	0	0	0	503266.116581384	0	0	0	0	0
Jul-2022	0	0	0	0	0	544997.342223196	0	0	0	0	0
Aug-2022	0	0	0	0	0	616992.179801793	0	0	0	0	0
Sep-2022	0	0	0	0	0	514311.010762735	0	4898.20010250224	0	0	0
Oct-2023	0	0	0	0	0	707911.204657261	0	85807.4187463347	0	0	0
Nov-2023	0	0	0	0	0	731452.903674135	0	147768.263368513	0	0	0
